,building_id,borough,street_name,house_number,project_id,latitude,longitude
2470,115683.0,Bronx,TOWNSEND AVENUE,1734,65357,40.84719,-73.911551
2471,115684.0,Bronx,TOWNSEND AVENUE,1735,65357,40.8471,-73.911642
2472,979051.0,Bronx,TILDEN STREET,839,55223,40.876868,-73.860572
2473,,Queens,----,----,66846,,
2474,971954.0,Bronx,EAST 223 STREET,626,67347,40.887101,-73.863491
2475,958943.0,Manhattan,3 AVENUE,1992,67008,40.79379,-73.943071
2476,976821.0,Manhattan,EAST 86 STREET,505,64636,40.775767,-73.946719
2477,,Staten Island,----,----,67162,,
2478,981750.0,Brooklyn,ST JOHN PLACE,615,67349,40.672536,-73.957876
2479,218892.0,Brooklyn,CHARLES PLACE,16,67006,40.697849,-73.931646
2480,6361.0,Manhattan,AVENUE A,222,67350,40.730102,-73.980574
2481,65052.0,Bronx,EAST 168 STREET,50,48768,40.836725,-73.919292
2482,982109.0,Brooklyn,BERGEN STREET,876,67351,40.677323,-73.958266
2483,976966.0,Brooklyn,MELROSE STREET,22,67009,40.697909,-73.935508
2484,18948.0,Manhattan,EAST 103 STREET,315,67013,40.788364,-73.943062
2485,804630.0,Manhattan,EAST 104 STREET,330,67013,40.78894,-73.942537
2486,,Brooklyn,----,----,66717,,
2487,976044.0,Brooklyn,HEGEMAN AVENUE,212,62289,40.656754,-73.904015
2488,19352.0,Manhattan,EAST 111 STREET,15,63939,40.797229,-73.948165
2489,5713.0,Manhattan,AMSTERDAM AVENUE,1930,63941,40.831999,-73.942685
2490,,Staten Island,----,----,67056,,
2491,89504.0,Bronx,KELLY STREET,936,64756,40.820584,-73.895895
2492,89505.0,Bronx,KELLY STREET,940,64756,40.820677,-73.895881
2493,89506.0,Bronx,KELLY STREET,944,64756,40.82077,-73.89587
2494,,Bronx,----,----,66765,,
2495,975336.0,Bronx,SOUTHERN BOULEVARD,1325,63014,40.831084,-73.891492
2496,,Brooklyn,----,----,66763,,
2497,,Brooklyn,----,----,66758,,
2498,,Bronx,----,----,66754,,
2499,978238.0,Bronx,CRUGER AVENUE,2547,67011,40.863901,-73.866399
2500,19548.0,Manhattan,EAST 115 STREET,245,67010,40.796587,-73.938926
2501,,Staten Island,----,----,66753,,
2502,966845.0,Manhattan,EAST 115 STREET,109,67352,40.798456,-73.943335
2503,,Brooklyn,----,----,66689,,
2504,974368.0,Brooklyn,19 STREET,198,67007,40.663206,-73.993476
2505,966038.0,Brooklyn,PARK AVENUE,869,67012,40.698634,-73.940455
2506,966936.0,Manhattan,WEST 134 STREET,517,67353,40.818829,-73.95412
2507,812713.0,Manhattan,BROOME STREET,194,61388,40.717126,-73.986912
2508,979324.0,Bronx,BERGEN AVENUE,600,51302,40.816749,-73.915298
2509,979325.0,Bronx,BERGEN AVENUE,556,51302,40.815937,-73.916354
2510,979259.0,Brooklyn,VANDALIA AVENUE,475,54360,40.655035,-73.874937
2511,979260.0,Brooklyn,VANDALIA AVENUE,479,54360,40.655071,-73.87485
2512,979261.0,Brooklyn,VANDALIA AVENUE,481,54360,40.65509,-73.874807
